study_id,x_km,y_km,lat,lon,n,vi,yi_z,r,es_id
1,1645.150136576002,926.2266473823846,58.344384210652116,33.05765104715268,66,0.015873015873015872,0.40804018438192785,0.386807356641608,1
1,1645.150136576002,926.2266473823846,58.344384210652116,33.05765104715268,15,0.08333333333333333,0.7191001690982175,0.6163516175711212,2
1,1645.150136576002,926.2266473823846,58.344384210652116,33.05765104715268,10,0.14285714285714285,0.3340675485237737,0.3221709010904441,3
1,1645.150136576002,926.2266473823846,58.344384210652116,33.05765104715268,11,0.125,0.8564385312568046,0.6944181603905764,4
1,1645.150136576002,926.2266473823846,58.344384210652116,33.05765104715268,51,0.020833333333333332,0.5069397147290822,0.4675573463682661,5
1,1645.150136576002,926.2266473823846,58.344384210652116,33.05765104715268,185,0.005494505494505495,0.9536982937410408,0.7414527707951761,6
1,1645.150136576002,926.2266473823846,58.344384210652116,33.05765104715268,36,0.030303030303030304,1.067074753488661,0.7883565835992146,7
1,1645.150136576002,926.2266473823846,58.344384210652116,33.05765104715268,55,0.019230769230769232,1.0952333538798589,0.7987802910645504,8
1,1645.150136576002,926.2266473823846,58.344384210652116,33.05765104715268,65,0.016129032258064516,0.3546338549526486,0.3404786605612834,9
1,1645.150136576002,926.2266473823846,58.344384210652116,33.05765104715268,155,0.006578947368421052,0.7500145059637593,0.635157606359668,10
2,-677.6378056753065,823.2973809476518,57.41709352205092,0.5025470245902692,69,0.015151515151515152,0.11867682002985108,0.11812278553808994,11
2,-677.6378056753065,823.2973809476518,57.41709352205092,0.5025470245902692,45,0.023809523809523808,0.4501144490743279,0.42199307798700336,12
2,-677.6378056753065,823.2973809476518,57.41709352205092,0.5025470245902692,35,0.03125,1.1120345503534994,0.8047803961535652,13
2,-677.6378056753065,823.2973809476518,57.41709352205092,0.5025470245902692,114,0.009009009009009009,0.6105343041848332,0.5445030999506973,14
2,-677.6378056753065,823.2973809476518,57.41709352205092,0.5025470245902692,73,0.014285714285714285,0.7000944353922551,0.6044277155782349,15
